"","AREA_HUC12","LAND_PCT_HUC12","WATER_PCT_HUC12","RIPARIAN_ZONE_PCT_HUC12","HYDROCONNECTED_ZONE_PCT_HUC12","HYDROACTIVE_ZONE_PCT_HUC12","FLOW_ACCUMULATION_MEAN_HUC12","STREAMLENGTH_NHD_MEDRES_HUC12","WATERBODYAREA_NHD_MEDRES_HUC12","SLOPE_MEAN_HUC12","Average.Annual.Temperature","ATEMP_SUMMER_HIST_HUC12","Average.Annual.Precipitation","PRECIP_SUMMER_HIST_HUC12","Average.Annual.Surface.Runoff","RUNOFF_SPRING_HIST_HUC12","SNOW_EQ_MARCH_HIST_HUC12","Average.Annual.Evaporative.Deficit","FOREST_PCT_HUC12","FOREST_DECIDUOUS_PCT_HUC12","FOREST_EVERGRN_PCT_HUC12","Pct.Mixed.Forest","WETLANDS_PCT_HUC12","WETLANDS_CHG_PCT_HUC12","WETLANDS_HERB_PCT_HUC12","WETLANDS_WOODY_PCT_HUC12","WOODY_VEG_PCT_HUC12","SHRUB_PCT_HUC12","GRASSLAND_PCT_HUC12","OPENWATER_PCT_HUC12","BARREN_PCT_HUC12","IMP_COV_STREAMLGTH_05PCT_HUC12","IMP_COV_LAKESHORE_05PCT_HUC12","IMP_COV_ALLWATERS_05PCT_HUC12","CANOPYCOVER_PCT_MEDIAN_HUC12","SOILSTABILITY_HUC12","URBAN_PCT_HUC12","AG_PCT_HUC12","CROP_PCT_HUC12","PASTURE_PCT_HUC12","ROADS_ALL_DENSITY_HUC12","TRAFFIC_DENSITY_HUC12","IMP_COV_PCT_HUC12","N_MANURE_APP_HUC12","N_SYNTH_FERT_APP_HUC12","P_MANURE_APP_HUC12","P_SYNTH_FERT_APP_HUC12","P_AG_BALANCE_HUC12","N_DEP_TOTAL_HUC12","N_OX_WETDEP_HUC12","N_OX_DRYDEP_HUC12","N_OX_TOTALDEP_HUC12","N_RED_WETDEP_HUC12","N_RED_DRYDEP_HUC12","N_RED_TOTALDEP_HUC12","SLF_WETDEP_HUC12","SLF_DRYDEP_HUC12","SLF_TOTALDEP_HUC12","TILE_DRAINAGE_PCT_HUC12","Suspended.Solid.Yield","SOIL_ERODIBILITY_HUC12","SOIL_RUNOFF_HIGH_PCT_HUC12","SOIL_RUNOFF_LOW_PCT_HUC12","Eutrophic","Lat","Long","Eutrophic_num","index"
"11",87610500,75.38,24.62,58.5,38.98,64.72,408.0440063,56.07,19.8,2.46661,12.12,17.94,1209.36,822.34,671.7,286.47,71.44,17.83,68.74,6.06,23.53,39.15,23.84,0.11,0.94,22.9,92.92,1.28,1.94,0.23,0.02,95.88,100,96.07,79,0.69,2.95,1,0,0.92,1.13,1130,0.393,0.111130513,0.790261447,0.028191802,0.061261065,0.007995951,4.457909518,1.344803617,1.510833202,2.855636084,1.381207792,0.221064912,1.602272705,1.942094369,0.806096247,2.748191346,0.6,14.6,0.31,39.53,10.72,"No",2809370.502,2144184.877,0,5
"12",66762900,78.68,21.32,47.49,35.78,55.68,289.993988,27.22,6.92,3.3617699,11.15,17.08,1205.84,838.73,697.93,302.49,111.99,12.99,71.99,20.62,16.23,35.15,14.6,0.07,0.83,13.77,91.61,5.85,0.55,5.8,0.01,96.58,100,98.23,72,0.69,1.16,0.04,0,0.04,0.31,0,0.199,0,0,0,0,0,4.653205772,1.488492806,1.367150786,2.855643592,1.516146832,0.281414905,1.79756218,2.132015926,0.751252958,2.883268885,0,8.6,0.31,53.64,14.4,"No",2778531.676,2066660.173,0,3
"13",134695800,78.86,21.14,50.84,35.86,58.14,9951.459961,98.44,8.32,2.67116,12.16,18,1160.07,806.44,631.16,268.85,58.02,22.65,71.06,14.78,16.48,39.8,18.93,-0.08,0.79,18.14,92.22,3.03,0.72,1.39,0.06,96.26,100,96.41,80,0.69,3.44,1.37,0,1.35,1.05,2416,0.532,0.10998784,0.514599562,0.017566936,0.105178231,0.023856302,4.373783146,1.347109288,1.391057356,2.738166644,1.386031072,0.249586057,1.635616625,1.968729808,0.777953318,2.746683185,0,74.4,0.31,56.02,8.63,"Yes",2775821.472,2096790.058,1,5
"14",116918100,63.09,36.91,57.46,47.17,62.78,817.1680298,78.7,29.99,2.6321399,12.27,18.06,1190.29,808.65,655.99,281.02,65.98,22.25,59.6,7.24,26.15,26.21,34.48,0.01,2.94,31.54,92.81,1.68,1.69,1.69,0,98.89,100,99,79,0.71,0.84,0.03,0,0.03,0.7,0,0.087,0.011500358,0.081780322,0.002706359,0.005848619,0.000767596,4.281460798,1.295920613,1.47255275,2.768473363,1.295280335,0.217707114,1.512987435,1.891451644,0.801797222,2.693248837,0,7.3,0.29,31.47,35.23,"No",2790031.017,2146840.832,0,2
"15",183604500,68.73,31.27,51.86,46.28,61.1,409.2680054,63.8,48.77,2.6963999,12.04,17.79,1177.99,791.3,660.57,288.67,73.75,30.98,66.55,8.34,34.98,23.23,10.89,0.46,0.87,10.02,77.6,1.02,1.09,19.58,0,97.25,99.42,98.71,78,0.72,0.78,0.08,0,0.08,0.84,0,0.152,0,0.156545177,0.0000345709,0.007037629,-0.001907125,4.21371297,1.201117782,1.640193546,2.841310832,1.13053103,0.241870607,1.372401657,1.818423472,0.896219263,2.714642584,0,4.7,0.28,28.43,5.81,"No",2775287.125,2159740.506,0,1
"16",174427200,83.37,16.63,35.19,25.27,40.3,1070.479981,50.63,21.35,6.3830299,9.58,15.57,1098.59,795.66,610.39,255.48,120.7,6.64,76.24,30.74,14.4,31.1,8.16,0.02,0.53,7.62,87.39,3.53,1.8,7.92,0.04,94.81,98.2,96.63,80,0.67,2.26,0,0,0,0.7,2537,0.449,0,0,0,0,0,5.245189869,1.469820301,1.480096294,2.949917409,1.700703087,0.594570265,2.295272851,2.131807362,1.037167326,3.168974669,0,11.9,0.33,79.17,1.78,"No",2785189.873,1974244.331,0,3
"17",172525500,69.42,30.58,50.5,48.83,61.42,5389.569824,36.18,44.73,2.6749101,10.08,16.01,1090.98,792.9,604.97,258.03,119.86,7.04,61.84,11.88,23.61,26.35,8.08,-0.04,1.42,6.67,70.98,2.48,2.67,22.04,0.31,84.88,97.98,94.63,76,0.67,2.59,0,0,0,0.8,581,0.502,0,0,0,0,0,4.832180906,1.456781278,1.314690734,2.77147254,1.659880079,0.400827983,2.060708062,2.195455121,0.694379436,2.889834557,0,22.3,0.33,65.61,5.71,"No",2798972.27,2009468.059,0,4
"18",61503300,85.79,14.21,35.24,41.27,52.17,270.7309875,23.49,1.9,3.01002,9.71,15.7,1116.17,813.57,633.8,261.71,131.55,5.04,77.44,17.94,27.46,32.04,12.45,-0.38,1.04,11.41,92.72,3.87,2.64,1.36,0.09,95.98,97.48,96.43,77,0.67,2.15,0,0,0,1.17,0,0.571,0,0,0,0,0,4.977757328,1.531707498,1.280436463,2.812143242,1.756039,0.409575085,2.165614086,2.261063767,0.74465967,3.005723437,0,15.8,0.33,91.56,0.43,"Yes",2810293.339,2006104.411,1,3
"19",49261500,86.42,13.58,40.57,25.42,47.15,281.1080017,24.97,1.34,4.8313198,9.94,15.89,1028.98,759.18,546.24,231.63,95.23,8.14,74,12.17,27.26,34.57,11.31,0.02,0.87,10.44,94.35,9.91,1.6,0.98,0.08,95.66,98.37,96.81,76,0.67,2.11,0,0,0,1.3,0,0.486,0,0,0,0,0,4.39818346,1.349042145,1.256101968,2.605145095,1.448148919,0.344889575,1.793038476,1.957613133,0.797490566,2.755103717,0,15.3,0.33,73.53,14.78,"No",2778323.558,2012180.69,0,1
"20",75465000,92.63,7.37,18.12,15.44,24.44,563.9860229,16.03,2.75,11.1004,8.72,14.57,1152.5,838.04,686.66,274.89,139.65,6.13,87.45,20.24,32.38,34.83,3.68,0.67,0.88,2.79,93.67,3.43,1.04,3.16,0.04,97.84,88.55,92.35,83,0.7,1.17,0,0,0,0.92,686,0.287,0,0,0,0,0,5.84457172,1.529667162,2.071449116,3.60111661,1.692995968,0.550459301,2.243455453,2.279890252,1.381625441,3.661515535,0,13.8,0.3,21.01,20.95,"No",2746490.776,1960095.938,0,3
"21",72386100,62.67,37.33,62.45,52.95,70.36,1012.710022,20.73,19.02,1.5038,12.81,18.66,1133.01,788.95,582.44,254.97,43.11,24.25,41.52,9.13,8.32,24.06,12.14,1.17,2.25,9.9,51.8,0.39,0.35,24.7,0.47,87.76,80.25,82.59,58,0.68,8.99,11.45,3,7.98,2.18,5023,2.79,0.970284343,6.896778584,0.24939002,0.557373419,0.086105139,5.275423555,1.570646046,1.673995546,3.244640604,1.519036194,0.511745757,2.030781951,2.248736096,0.972432595,3.221168691,5,18.6,0.32,38.27,3.02,"Yes",2726409.301,2083658.268,1,4
"22",122434200,91.52,8.48,23.15,15.84,27.27,429.2430115,42.15,2.34,10.1264,9.78,15.63,1203.34,856.48,721.12,291.76,149.52,7.89,84.7,34.87,22.17,27.67,5.67,0.06,0.17,5.5,93.97,3.76,1.04,1.96,0.07,88.1,91.67,89.11,80,0.7,2.09,0.72,0,0.72,1.18,1177,0.539,0.060865346,0.097384557,0.015472992,0.011712544,-0.0182256,6.328262803,1.743960071,2.077927191,3.821887795,1.915016613,0.591358395,2.506375008,2.680052506,1.408602712,4.088655205,0,25.4,0.3,24.78,4.82,"No",2679532.005,1933901.243,0,4
"23",103555800,91.62,8.38,23.25,21.05,31.29,27923.80078,41.54,1.38,7.4837098,12.08,17.69,1241.94,874.46,711.51,281.59,51.81,20.63,74.94,23.19,24.82,26.94,5.13,-0.01,0.22,4.91,84.51,4.65,0.89,2.86,0.17,92.53,83.4,91.74,78,0.77,5.3,6.05,2,4.24,1.47,4216,1.235,0.41461125,4.560723782,0.111381015,0.145819585,-0.120606966,4.892129392,1.400407181,1.85066571,3.251072691,1.25768608,0.383370993,1.641057073,1.997406545,1.124443009,3.121849754,0,111.2,0.23,18.17,25.49,"No",2652121.222,1980447.394,0,2
"24",61753500,83.4,16.6,34.72,26.15,39.85,205.1929932,18.96,2.54,6.26161,12.61,18.29,1195.08,837.17,654.72,259.74,29.87,34.48,68.66,17.84,17.42,33.4,12.06,0.09,1.59,10.47,83.85,4.72,0.7,4.07,0.29,86.35,79.52,84.02,81,0.75,5.9,3.6,0,3.3,1.72,2635,1.334,0.218086421,2.398950577,0.059983495,0.078249205,-0.064952069,5.147745695,1.526316036,1.719924433,3.246240245,1.470486628,0.431018822,1.90150545,2.258517196,0.989203364,3.247719559,0,13.1,0.25,27.19,22.1,"No",2655815.389,2014439.084,0,5
"25",91678500,80.27,19.73,43.05,25.9,46.2,289.6929932,18.76,11.24,5.0704598,12.53,18.23,1208.08,843.72,662.85,268.6,38.22,25.67,68.57,20.67,11.41,36.49,7.14,0.33,0.7,6.44,76.24,1.23,1.07,12.08,0.02,80.76,93.66,90.63,81,0.73,6.16,3.72,0,3.58,2.17,1103,0.738,3.0715065,1.106327057,1.228316071,0.127901541,1.083009563,5.450331003,1.623231341,1.794955081,3.418185798,1.564972578,0.467172627,2.032145205,2.348973069,1.386842261,3.735815955,0,7.9,0.27,35.78,1.47,"No",2670941.72,2035638.653,0,1
"26",54211500,80.76,19.24,36.91,26.88,41.58,161.4949951,29.13,9.03,5.15874,11.76,17.56,1190.4,801.38,664.02,289.88,79.14,19.57,76.95,28.78,7.88,40.29,6.07,0.07,0.22,5.86,85.04,2.23,0.42,11.85,0,98.72,97.9,98.41,75,0.68,2.41,0.06,0,0.06,0.87,0,0.184,0,0.061426081,0.0000389887,0.003283629,-0.002397112,4.018639849,1.171987443,1.474515358,2.646502533,1.155464985,0.21667233,1.372137316,1.756860876,0.805007811,2.561868687,0,9.1,0.32,57.4,11.46,"No",2808887.574,2166928.098,0,3
"27",54558900,78.8,21.2,45.12,43.5,55.73,293.4150085,28.12,7.01,2.49966,12.13,17.88,1183.18,793.32,661.22,287.8,71.69,29.27,78.45,3.39,46.56,28.5,11.49,0.03,0.33,11.16,90.38,0.76,0.44,8.62,0,99.14,99.9,99.49,79,0.73,0.21,0.01,0,0.01,1.03,0,0.082,0,0,0,0,0,4.043625334,1.207818447,1.45155962,2.659378067,1.171017258,0.213229876,1.384247506,1.81569429,0.798631993,2.614325655,0,6.6,0.27,50.34,20.7,"No",2788699.343,2160032.23,0,4
"28",170061300,74.08,25.92,47.23,44.26,57.78,383.9930115,85.96,33.43,2.7474899,12.17,17.88,1182.76,785.85,663.09,291.28,72.03,31.18,71.53,8.4,31.06,32.06,18.06,0.28,2.24,15.81,88.81,1.46,0.48,7.12,0.03,88.79,90.1,89.37,79,0.72,1.28,0.04,0,0.04,0.66,0,0.285,0,0.04917521,0.0000303791,0.002878415,-0.001867775,3.954151201,1.165780082,1.505365592,2.671145674,1.063390703,0.219614319,1.283005526,1.7625343,0.833887273,2.596421781,0,6.8,0.28,35.32,6.72,"No",2779163.649,2169590.121,0,4
"29",86474700,82.69,17.31,44.36,35.03,55.2,334.0589905,60.65,7.87,2.44414,12.75,18.33,1261.9,825.56,723.82,304.27,54.56,36.42,75.37,5.12,21.19,49.06,11.52,0.04,0.45,11.07,88.27,1.83,1.71,4.7,0.04,99,100,99.49,80,0.72,3.39,1.44,1,0.07,1.62,1566,0.648,0,1.492459655,0.000990772,0.097255472,-0.06091488,3.877894912,1.218686456,1.494845309,2.713532002,0.949589976,0.214773188,1.164362926,1.808833685,1.037952644,2.846786092,0,10.5,0.28,34.3,17.22,"No",2764840.412,2203992.874,0,1
"30",171713700,78.72,21.28,48.8,42.07,60.62,548.0949707,92.31,17.81,2.53563,12.41,17.92,1235.1,815.17,710.76,298.73,56.84,36.59,66.5,14.03,20.3,32.17,16.07,0.09,0.63,15.43,84.17,2.25,0.59,4.63,0.38,98.11,99.85,98.73,79,0.75,1.88,7.72,8,0.14,1.68,2860,0.536,0,8.871038437,0.005509667,0.527021287,-0.338716906,3.912187211,1.178960119,1.584574011,2.763534242,0.915458616,0.233194699,1.148653314,1.750710677,0.988196507,2.738907219,0,16.5,0.25,15.3,35.22,"No",2755085.851,2185915.852,0,3
"31",113018400,84.18,15.82,41.53,40.75,56.12,4421.879883,64.66,8.68,2.3954301,12.56,17.99,1288.55,841.66,752.01,314.91,57.76,33.79,68.45,7.73,26.99,33.74,13.31,0.05,0.48,12.83,82.35,1.08,2.37,1.78,0.23,96.16,99.21,97.91,79,0.72,2.16,10.62,11,0.02,1.84,0,0.456,0,11.57546043,0.007555876,0.714238067,-0.464552033,3.966029245,1.225325736,1.56585619,2.79118169,0.946686423,0.228161461,1.174847885,1.832727109,1.093674319,2.926401428,0,42.9,0.28,41.34,20.43,"No",2754854.773,2200712.661,0,2
"32",101064600,89.62,10.38,32.01,19.41,37.66,1924.48999,70.59,6.23,5.7595401,12.55,18.23,1152.26,781.12,613.95,252.19,26.4,35.76,84.52,19.87,29.42,35.24,5.07,0.06,0.53,4.54,91.26,2.2,1.16,3.43,0.03,87.5,100,87.5,81,0.69,2.73,0.86,0,0.71,1.39,3633,0.553,0,0.576771677,0.000261043,0.055110442,-0.014400581,4.549664482,1.374128623,1.773440002,3.147568807,1.141498038,0.260597638,1.402095858,2.003604443,1.051267287,3.054871707,0,20.8,0.31,42.57,4.26,"No",2739067.527,2148456.146,0,5
"33",126841500,84.18,15.82,35.81,31.32,45.3,464.0759888,76.56,16.93,3.7251699,12.48,18.17,1176.58,791.72,647.22,269,39.09,39.15,76.55,10.94,25.73,39.88,12.06,0.05,0.78,11.28,90.42,2.59,1.99,2.77,0.19,100,100,100,80,0.74,1.82,2.04,2,0.41,1.05,2592,0.589,0,1.063071609,0.000448971,0.094381098,-0.024767754,4.346295652,1.315897776,1.689747633,3.005645564,1.094898788,0.245751335,1.340650227,1.928868841,0.991054524,2.919922589,0,12.3,0.26,28.02,16.66,"No",2746411.827,2158276.335,0,3
"34",56257200,80.57,19.43,49.09,27.29,52.18,139.0850067,32.53,5.1,6.8292298,13.09,18.1,1419.96,912.05,856.56,361.35,117.51,36.5,65.61,8.22,24.58,32.8,14.07,0.32,2.98,11.09,79.01,2.31,2.32,4.4,0.28,80.41,88.54,83.94,79,0.72,10.8,0.21,0,0.21,3.32,6512,3.077,0,0.080885649,0,0,0,4.489908369,1.446786724,1.610092895,3.056879251,1.109960227,0.323068524,1.433028751,2.215054756,2.191454143,4.406509481,0,11.6,0.28,67.64,9.8,"No",2697168.263,2172774.529,0,2
"35",76310100,80.92,19.08,50.82,26.2,53.47,98.5877991,39.36,5.97,6.4366298,13.1,18.13,1416.83,909.94,853.2,362.36,119.1,36.54,70.15,2.74,49.08,18.32,9.72,0.2,0.97,8.75,79.93,1.03,2.1,8.25,0.1,100,100,100,80,0.72,8.44,0.22,0,0.18,3.38,6299,2.016,0,0,0,0,0,5.947741274,1.411003309,2.932822423,4.343825028,1.080542011,0.523373531,1.603915542,2.15858584,3.881948859,6.040535693,0,7.8,0.28,67.5,6.94,"No",2691282.883,2169219.624,0,2
"36",31939200,89.44,10.56,37.6,13.9,38.74,117.1470032,27.36,0.96,12.2042999,13.14,18.14,1458.96,934.01,891.21,381.83,179.82,31.84,70.62,9.13,41.04,20.45,5.11,0.01,0.56,4.55,87.07,11.9,4.25,3,0.06,97.65,100,97.65,80,0.74,4.55,0.51,0,0.41,2.97,2446,1.214,0,0,0,0,0,3.551776973,1.407504185,0.834269655,2.241773663,1.08247934,0.227523793,1.310003133,2.27084481,2.919272686,5.190117513,0,16.3,0.26,67.48,14.84,"No",2690897.992,2176993.819,0,5
"37",113969700,83.42,16.58,51.76,28.55,57.06,50.5909004,38.02,2.98,4.2594199,12.96,17.97,1384.56,893.17,823.34,351.79,122.74,35.9,64.89,0.6,52.92,11.37,13.2,0.15,2.41,10.79,77.17,1.49,3.61,2.01,0.69,97.35,97.29,97.33,77,0.68,13.93,0.19,0,0.14,4.43,5448,4.764,0,0.102473736,0,0,0,5.246398516,1.40573763,2.330571157,3.736308278,1.064287931,0.445801798,1.510089729,2.185663862,3.874938944,6.060603577,0,8.1,0.32,64.37,7.94,"Yes",2686819.505,2168379.69,1,5
"39",89728200,84.16,15.84,45.12,26.58,50.28,340.0010071,74.15,5.24,3.83003,12.89,18.05,1265.16,855.24,708.87,284.73,16.55,37.22,74.34,28.81,12.86,32.66,9.43,0.02,0.65,8.79,84.04,0.91,0.95,4.66,0.03,90.76,94.69,91.85,84,0.71,5.3,4.37,1,3.61,1.95,2264,0.682,0,2.422526121,0.203760112,0.13532033,-0.055606116,5.217935097,1.405399763,2.168676394,3.574076001,1.094044633,0.549813916,1.643859549,2.224976043,2.546731135,4.771707179,0,18.4,0.29,25.8,7.13,"No",2673479.054,2113227.928,0,4
"40",118828800,81.52,18.48,41.01,28.17,45.66,362.2909851,61.57,10.15,4.75949,12.72,18.29,1197.89,816.81,626.84,249.59,10.97,42.12,70.17,29.55,9.89,30.73,12.54,0.02,0.61,11.93,83.85,1.75,2.24,5.17,0.03,93.96,94.72,94.26,83,0.72,4.3,3.81,1,3.17,1.63,4670,0.53,0.000318105,1.774198651,0.141426105,0.097411258,-0.042655834,5.288941879,1.454311204,2.065767136,3.520078488,1.236815837,0.53204796,1.768863923,2.052860272,1.471914738,3.524775478,0,11.7,0.28,21.36,13.22,"No",2673500.445,2087025.264,0,5
"41",124944300,76.81,23.19,56.87,33.22,60.52,1051.729981,64.61,14.76,3.3558199,13.05,18.62,1190.44,813.19,619.69,249.94,10.92,42.62,63.23,17.66,10.3,35.27,17.88,0.19,1.8,16.08,80.82,1.51,2.4,4.76,0.24,95.45,90.41,93.15,82,0.7,5.17,4.81,0,4.43,1.71,2772,0.879,0.340740621,2.145879507,0.128603608,0.148352914,-0.007096406,5.109921876,1.486572966,1.993505792,3.480078758,1.165837114,0.464006498,1.629843613,2.130997396,1.510047946,3.641045413,0,20.4,0.3,34.39,15.31,"No",2658231.664,2081035.147,0,2
